Name,Status,Target Audience,Description,Tags,Home page,Source URL,Documentation,Open Source,Open Content,Has Schema?,Schema URL,Team,Number of Users,Cost,Practice,Sub Practice,Practice 2,Sub Practice 2,Type,Type,Subtype,Project Specific,Language,Dependency 1,Dependency 2,Dependency 3,Data Discovery / Searching,Unexplainable dread,Technology,Programming Language,Data Import,Data Export,Allows Bulk Upload,Displays Lists,Network Viz,Network Editing,Network Analysis,Embeddable,Document Viz,Timelines,Maps,Custom Themes
Morph.io,,,,,https://morph.io/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tableau software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogre,,,,,http://ogre.clojurewerkz.org,,,,,,,,,,,,,,,,,,,,,,,,,clojure,,,,,,,,,,,,
Tamedia,,,,internal query with translation,,,,,,,,,20,1.5MEUR,,,,,,,,,,,,,,,"Abby (OCR), Systran (Translation), Temis (Entity extraction), Cogito Intelligence Platform (Web based Entity Search), Crawling (IDM Police crawler)",,,,,,,,,,,,,
ICIJ Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache Tika (document extraction), Apache Solr (data management), JBIG2-ImageIO, Redis (database), Neo4J (database), Linkurious, Oxwall (social networking platform for discussion of documents), Blacklight, TesseractOCR",,,,,,,,,,,,,
Document Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prettylist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US color-coded map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choose Your Own Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Wrapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeline.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.umbel.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neo4J,,,,,,,,,,,,,,,,,,,,Storage,Graph Database,,,,,,,,,,,,,,,,,,,,,
Git,,,,,,,,,,,,,,,,,,,,Storage,Version Control System,,,,,,,,,,,,,,,,,,,,,
Diff Match and Patch libraries,,,,,,https://code.google.com/p/google-diff-match-patch/,,,,,,,,,,,,,Library,Text Processing,Comparison,,Javascript,,,,,,,,,,,,,,,,,,,
Intro.js,,,,,http://usablica.github.io/intro.js/,https://github.com/usablica/intro.js,,,,,,,,,,,,,Library,User Interface,Walkthrough,,Javascript,,,,,,,,,,,,,,,,,,,
Angular.js,,,,MVC,,,,,,,,,,,,,,,Library,User Interface,Web Framework,,Javascript,,,,,,,,,,,,,,,,,,,
BeautifulSoup,,,,,,,,,,,,,,,,,,,Library,Collection,Scraping,,Python,,,,,,,,,,,,,,,,,,,
Requests,,,,,,,,,,,,,,,,,,,Library,Collection,Scraping,,Python,,,,,,,,,,,,,,,,,,,
JSON,,,,,,,,,,,,,,,,,,,,Data Format,Document,,,,,,,,,,,,,,,,,,,,,
CSV,,,,,,,,,,,,,,,,,,,,Data Format,Tabular,,,,,,,,,,,,,,,,,,,,,
RDF,,,,,,,,,,,,,,,,,,,,Data Format,Graph,,,,,,,,,,,,,,,,,,,,,
Solr,,,,,,,,,,,,,,,,,,,,Access,Search,,,,,,,,,,,,,,,,,,,,,
PoderoPedia Plug & Play,,,,,,https://github.com/poderopedia/plug-and-play-1.0-RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web2py,,,,MVC,http://www.web2py.com/,https://github.com/web2py/web2py/,,,,,,,,,,,,,Library,User Interface,Web Framework,,Python,,,,,,,,,,,,,,,,,,,
Fuseki,,,,,,,,,,,,,,,,,,,,Access,Query,,,Apache Lucene,,,,,,,,,,,,,,,,,,
MySql,,,,,,,,,,,,,,,,,,,,Storage,Relational Database,,,,,,,,,,,,,,,,,,,,,
PostgresSQL,,,,,,,,,,,,,,,,,,,,Storage,Relational Database,,,,,,,,,,,,,,,,,,,,,
Data Commons,,,,"Imports, mashups, data api",,https://github.com/sunlightlabs/datacommons,,,,,,,,,,,,,,Framework,Data Management,,Python,Django,,,,,,,,,,,,,,,,,,
Brisket,,,,,,https://github.com/sunlightlabs/brisket,,,,,,,,,,,,,,User Interface,Web App,Yes,Python,Django,,,,,,,,,,,,,,,,,,
Read_FEC,,,,,,https://github.com/sunlightlabs/read_FEC,,,,,,,,,,,,,,Collection,Web App,Yes,Python,Django,,,,,,,,,,,,,,,,,,
WikiTalk Parser,,,,Wikipedia,,https://github.com/sdivad/WikiTalkParser/,,,,,,,,,,,,,,Collection,Scraping,Yes,Python,Wikipedia,,,,,,,,,,,,,,,,,,
ABCD-Gephi-Plugin,,,,Gephi,,https://github.com/jacomyal/ABCD-Gephi-Plugin,,,,,,,,,,,,,,Analysis,,Yes,Java,Gephi,,,,,,,,,,,,,,,,,,
ContropediaTalk,,,,WikiTalk Parser,,https://github.com/sdivad/ContropediaTalk,,,,,,,,,,,,,,Analysis,,Yes,Python,,,,,,,,,,,,,,,,,,,
Scraper Lobbyliste,,,,,,https://github.com/lobbyradar/scraper-lobbyliste,,,,,,,,,,,,,,Collection,Scraping,Yes,,,,,,,,,,,,,,,,,,,,
